4	1.5	29.34	0.89	2
3	2	8.36	0.1	3
2	2.5	-5.61	2.08	4
5	1	32.1	0.87	4
4.1	1.5	29.34	0.89	2
2.1	2.5	-5.61	2.08	4
3.1	2	8.36	0.1	3
1.1	3	5.66	2.04	6
4.2	1.5	29.34	0.05	2
3.2	2	8.36	0.1	3
2.2	2.5	-5.61	1.21	4
1.2	3	0	1.96	6
4.3	1.5	29.34	0.05	2
1	3	5.66	2.04	6
3.3	2	8.36	0.1	3
2.3	2.5	-5.61	1.2	3.5
1.3	3	0	1.96	6
1.7	3	0	1.95	5
4.4	1.5	29.34	0.05	2
2.4	2.5	-5.61	1.2	3
3.4	2	8.36	0.09	3
1.4	3	0	1.96	6
2	3	0	1.94	5
2.5	2.5	-5.61	1.21	3
4.5	1.5	29.34	0.05	2
3.5	2	10.35	0.28	2
1.5	3	0	1.96	6
2.6	2.5	-5.61	1.21	3
4.6	1.5	29.34	0.05	2
1.6	3	0	1.95	6
2.1	3	0	1.94	5
3.6	2	31.62	0.52	1
2.2	3	0	1.55	4
4.7	1.5	32.11	0.08	2
3	3	0	1.54	3
2.7	2.5	-5.61	1.21	3
3.7	2	31.62	0.52	1
2.3	3	0	1.55	4
3.1	3	0	1.54	3
2.8	2.5	-5.61	1.21	3
4.8	1.5	32.11	0.08	2
3.8	2	31.62	0.52	1
2.4	3	0	1.55	4
2.9	2.5	-5.61	1.18	3
4.9	1.5	32.11	0.97	3
3.2	3	0	1.54	3
3.9	2	31.62	0.52	1
4	2	31.62	0.52	1
3.3	3	0	1.54	3
5	1.5	33.02	0.95	2
2.5	3	0	1.54	4
3	2.5	-5.61	1.18	3
4.1	2	31.62	0.52	1
3.4	3	0	1.55	3
1	1.4	6.53	1.31	5.5
2.6	3	0	1.55	4
3.1	2.5	-5.61	1.18	3
4.2	2	31.62	0.52	1
1.1	1.4	6.53	1.3	5
3.2	2.5	-5.61	1.18	3
2.7	3	0	1.55	4
3.5	3	0	1.55	2
4.3	2	31.62	0.52	1
2.8	3	0	1.55	4
3.3	2.5	-5.61	1.18	3
1.2	1.4	-2.11	1.09	6
3.6	3	0	1.55	2
4.4	2	31.62	0.52	1
2.9	3	0	1.54	3
3.4	2.5	-5.61	1.19	3
1.3	1.4	-2.11	1.09	6
3.7	3	0	1.55	2
4.2	3	6.31	1.94	2
3.5	2.5	-5.61	1.04	2
1.4	1.4	-2.11	1.09	6
3.8	3	0	1.55	2
3.6	2.5	18.82	0.32	2
4.3	3	6.31	1.94	2
1.5	1.4	-2.11	1.1	6
3.9	3	0	1.55	2
1.6	1.4	-2.11	1.03	6
3.7	2.5	18.82	0.32	2
4.4	3	6.31	1.94	2
4	3	0	1.55	2
3.8	2.5	18.82	0.32	2
1.7	1.4	-2.11	0.48	5
4.5	3	6.31	1.94	2
3.9	2.5	18.82	0.32	2
4.1	3	0	1.55	2
1.8	1.4	-2.55	0.48	5
4.6	3	6.31	1.94	2
1.7	2.9	0	1.95	5
4	2.5	18.82	0.32	2
1.9	1.4	-1.79	0.47	5
4.7	3	6.31	2.05	2
4.5	2	31.62	0.52	1
4.1	2.5	18.82	0.32	2
2	1.4	-1.79	0.47	5
1.8	2.9	0	1.95	5
4.8	3	6.31	2.05	2
4.6	2	31.62	0.52	1
2.1	1.4	-1.79	0.47	5
1.9	2.9	0	1.94	5
4.2	2.5	18.58	0.97	2
4.9	3	0	1.96	2
4.7	2	39.13	0.38	2
4.3	2.5	18.58	0.97	2
2.2	1.4	1.97	0.5	5
5	3	0	1.9	1
2	2.9	0	1.94	5
2.1	2.9	0	1.94	5
2.3	1.4	1.97	0.48	4
1	2.9	5.66	2.04	6
4.8	2	39.13	0.38	2
4.4	2.5	18.58	0.97	2
2.4	1.4	0.32	0.48	4
1.1	2.9	5.66	2.04	6
4.5	2.5	18.58	0.97	2
2.2	2.9	0	1.55	4
4.9	2	39.13	0.68	2
1.2	2.9	0	1.96	6
5	2	39.64	0.72	1
2.5	1.4	0.32	0.49	5
2.3	2.9	0	1.55	4
4.6	2.5	18.58	0.97	2
2.6	1.4	1.13	0.5	4
1.3	2.9	0	1.96	6
1	1.9	6.81	0.84	5
2.4	2.9	0	1.55	4
4.7	2.5	18.58	1.03	1
1.4	2.9	0	1.96	6
2.7	1.4	1.13	0.49	4
1.1	1.9	6.81	0.84	5
2.5	2.9	0	1.54	4
4.8	2.5	18.58	1.03	1
1.2	1.9	-0.72	0.49	5
2.8	1.4	1.13	0.49	4
1.5	2.9	0	1.96	6
2.6	2.9	0	1.55	4
2.9	1.4	5.88	0.56	4
4.9	2.5	18.49	0.51	1
1.6	2.9	0	1.95	6
2.7	2.9	0	1.55	4
1.3	1.9	-0.72	0.49	5
3	1.4	12.72	0.59	4
5	2.5	26.6	0.61	1
2.8	2.9	0	1.55	4
3.3	2.9	0	1.54	3
1.4	1.9	-0.72	0.49	5
3.1	1.4	12.72	0.59	4
2.9	2.9	0	1.54	3
3.4	2.9	0	1.55	3
1.5	1.9	-0.72	0.49	5
3.2	1.4	12.72	0.59	4
3	2.9	0	1.54	3
3.5	2.9	0	1.55	2
1.6	1.9	-0.72	0.49	5
3.1	2.9	0	1.54	3
3.3	1.4	12.72	0.59	4
3.6	2.9	0	1.55	2
3.2	2.9	0	1.54	3
1.7	1.9	-0.72	0.49	4
3.4	1.4	12.72	0.61	4
3.7	2.9	0	1.55	2
4.9	2.9	0	1.96	2
1.8	1.9	-0.69	0.51	4
3.5	1.4	12.72	0.61	3
3.8	2.9	0	1.55	2
1.9	1.9	-0.69	0.49	4
5	2.9	0	1.9	1
3.6	1.4	29.34	0.82	2
3.9	2.9	0	1.55	2
1	2.8	6.4	2.42	6
2	1.9	0.76	0.5	3.5
3.7	1.4	29.34	0.82	2
4	2.9	0	1.55	2
2.1	1.9	0.76	0.5	3.5
1.1	2.8	6.4	2.42	6
3.8	1.4	29.34	0.82	2
4.1	2.9	0	1.55	2
2.2	1.9	-3.3	0.08	4
1.2	2.8	0	1.89	6
3.9	1.4	29.34	0.82	2
4.2	2.9	6.31	1.94	2
2.3	1.9	-3.3	0.09	4
4	1.4	29.34	0.82	2
1.3	2.8	0	1.89	6
2.4	1.9	-3.3	0.09	4
4.1	1.4	29.34	0.82	2
1.4	2.8	0	1.89	6
1.8	3	0	1.95	5
4.3	2.9	6.31	1.94	2
2.5	1.9	-3.3	0.06	4
1	2.4	6.4	0.81	5
1.9	3	0	1.94	5
4.2	1.4	29.34	0	2
1.5	2.8	0	1.89	6
2.6	1.9	-1.94	0.08	4
1.1	2.4	6.4	0.81	5
4.4	2.9	6.31	1.94	2
3.6	1.9	31.5	0.52	1
2.6	2.4	-5.13	1.22	4
4.3	1.4	29.34	0	2
4.5	2.9	6.31	1.94	2
2.7	1.9	-1.94	0.09	4
1.2	2.4	-5.13	2.11	5.5
1.6	2.8	0	1.89	6
3.7	1.9	31.5	0.52	1
2.7	2.4	-5.13	1.22	4
4.4	1.4	29.34	0	2
2.8	1.9	-1.94	0.09	4
4.6	2.9	6.31	1.94	2
4.5	1.4	29.34	0	2
2.9	1.9	2.14	0.03	3
1.3	2.4	-5.13	2.11	5
4.7	2.9	6.31	2.05	2
1.7	2.8	0	1.89	5
3.8	1.9	31.5	0.52	1
2.8	2.4	-5.13	1.22	4
4.8	2.9	6.31	2.05	2
4.6	1.4	29.34	0	2
3	1.9	8.36	0.1	3
1.4	2.4	-5.13	2.11	5
1.8	2.8	0	1.89	5
3.9	1.9	31.5	0.52	1
2.9	2.4	-5.13	1.19	3
2.8	2.8	0	1.46	4
1.5	2.4	-5.13	2.12	5
4.7	1.4	32.11	0	3
1.9	2.8	0	1.87	5
3.1	1.9	8.36	0.1	3
1.6	2.4	-5.13	2.07	5
4.8	1.4	32.11	0	3
2.9	2.8	0	1.45	3
4	1.9	31.5	0.52	1
2	2.8	0	1.87	5
3	2.4	-5.13	1.19	3
3	2.8	0	1.45	3
4.9	1.4	32.11	0.89	3
1.7	2.4	-5.13	2.08	4
4.1	1.9	31.5	0.52	1
3.2	1.9	8.36	0.1	3
2.1	2.8	0	1.87	5
3.1	2.4	-5.13	1.19	3
3.1	2.8	0	1.45	3
1.8	2.4	-5.13	2.08	4
5	1.4	33.3	0.91	3
3.3	1.9	8.36	0.1	3
1.9	2.4	-5.13	2.03	4
3.2	2.8	0	1.45	3
2.2	2.8	0	1.45	4
4.2	1.9	31.5	0.52	1
3.2	2.4	-5.13	1.19	3
1	1.3	6.53	1.3	6
3.4	1.9	8.36	0.09	3
3.3	2.8	0	1.45	3
2.3	2.8	0	1.45	4
2	2.4	-5.13	2.03	4
1.1	1.3	6.53	1.3	5.5
3.4	2.8	0	1.45	3
3.5	1.9	11.26	0.29	2
2.1	2.4	-5.13	2.03	4
1.2	1.3	-1.7	1.09	6
3.5	2.8	0	1.45	2
4.3	1.9	31.5	0.52	1
2.2	2.4	-5.13	1.22	4
1.3	1.3	-1.7	1.09	6
4.4	1.9	31.5	0.52	1
3.6	2.8	13.72	1.22	2
2.3	2.4	-5.13	1.21	4
4.5	1.9	31.5	0.52	1
2.4	2.4	-5.13	1.21	4
3.7	2.8	13.72	1.22	2
1.4	1.3	-1.7	1.09	6
